artiste_id,nom,nom_normalise,genre_principal,genres_secondaires,url_photo,notes
A0087,Zomboy,zomboy,electro_techno,,,auto depuis programme (1 passages)
A0088,A5KM,a5km,electro_techno,,,auto depuis programme (1 passages)
A0089,Creeds,creeds,electro_techno,,,auto depuis programme (1 passages)
A0090,Evil Grimace,evil-grimace,electro_techno,,,auto depuis programme (1 passages)
A0091,Neika,neika,electro_techno,,,auto depuis programme (1 passages)
A0092,Persin Down,persin-down,musique_autre,,,auto depuis programme (1 passages)
A0093,Deen CK,deen-ck,hiphop_rap,,,auto depuis programme (1 passages)
A0094,Odeza,odeza-tremplin-rose-festival,musique_autre,,,auto depuis programme (1 passages)
A0095,Kulturr,kulturr,hiphop_rap,,,auto depuis programme (1 passages)
A0096,Noé Extrat,noe-extrat-tremplin-rose-festival,chanson_variete,,,auto depuis programme (1 passages)
A0097,Timar,timar,chanson_variete,,,auto depuis programme (1 passages)
A0098,Etane,etane-tremplin-rose-festival,musique_autre,,,auto depuis programme (1 passages)
A0099,Juliane Piermay,juliane-piermay,chanson_variete,,,auto depuis programme (1 passages)
A0100,Iliona,iliona,chanson_variete,,,auto depuis programme (1 passages)
A0102,Béeseau,beeseau,chanson_variete,,,auto depuis programme (1 passages)
A0103,Médine,medine,hiphop_rap,,,auto depuis programme (1 passages)
A0104,Noée,noee,chanson_variete,,,auto depuis programme (1 passages)
A0105,Eva,eva,chanson_variete,,,auto depuis programme (1 passages)
A0106,Maïa,maia,chanson_variete,,,auto depuis programme (1 passages)
A0107,Triangle des Bermudes,triangle-des-bermudes,electro_techno,,,auto depuis programme (1 passages)
A0108,Ajar,ajar,chanson_variete,,,auto depuis programme (1 passages)
A0109,Jethro Nine (génération Spédidam),jethro-nine-generation-spedidam,rock_metal_punk,,,auto depuis programme (1 passages)
A0110,Danyl,danyl,hiphop_rap,,,auto depuis programme (1 passages)
A0111,2L,2l,hiphop_rap,,,auto depuis programme (1 passages)
A0112,Zaho,zaho,funk_soul_rnb,,,auto depuis programme (1 passages)
A0113,Yiadé,yiade,hiphop_rap,,,auto depuis programme (1 passages)
A0114,St Graal,st-graal,rock_metal_punk,,,auto depuis programme (1 passages)
A0115,Josman,josman,hiphop_rap,,,auto depuis programme (1 passages)
A0116,Sunsept France,sunsept-france,electro_techno,,,auto depuis programme (1 passages)
A0117,DJ Snake,dj-snake,electro_techno,,,auto depuis programme (1 passages)
A0118,Karpouzi Mon Amour (Bulgarock),karpouzi-mon-amour-bulgarock,rock_metal_punk,,,auto depuis programme (1 passages)
A0120,Juliette Magnevasoa,juliette-magnevasoa,chanson_variete,,,auto depuis programme (1 passages)
A0121,Unfaced,unfaced,electro_techno,,,auto depuis programme (1 passages)
A0122,Un putain de conte de fée,un-putain-de-conte-de-fee,humour_standup,,,auto depuis programme (1 passages)
A0126,Javier Perianes,javier-perianes,classique_lyrique,,,auto depuis programme (1 passages)
A0127,Magdalene Ho,magdalene-ho,classique_lyrique,,,auto depuis programme (1 passages)
