event_id|programme_id|artiste_id|image_url|alt|credit|licence
E325|||https://www.grand-rond.org/userfiles/bandeau-site-26-278.jpg|Réouverture billetterie — Théâtre du Grand Rond|Théâtre du Grand Rond (grand-rond.org)|Droits réservés — usage éditorial source lieu
E046|||https://www.cave-poesie.com/wp-content/uploads/2026/08/Diaporama-site-4.jpg|Présentation de saison 2026-2027 — Cave Poésie René-Gouzenne|Cave Poésie René-Gouzenne (cave-poesie.com)|Droits réservés — usage éditorial source lieu
E481|||https://www.greniertheatre.org/wp-content/uploads/2026/05/Head-ACTEUR-.jpg|Acteur — Le Grenier Théâtre|Le Grenier Théâtre (greniertheatre.org)|Droits réservés — usage éditorial source lieu
E320|||https://www.theatre-sorano.fr/wp-content/uploads/2026/05/1300x780-1-Briac-Durand.jpg|Nous sommes des filles sans histoire — Théâtre Sorano|Théâtre Sorano / crédit Briac Durand (theatre-sorano.fr)|Droits réservés — usage éditorial source lieu
E482|||https://www.greniertheatre.org/wp-content/uploads/2026/05/photo-DEMOISELLES.jpeg|Les Demoiselles du Parc – 1914 — Le Grenier Théâtre|Le Grenier Théâtre (greniertheatre.org)|Droits réservés — usage éditorial source lieu
E181|||https://www.theatregaronne.com/sites/default/files/2026-06/cqv-3-pierre-etranger.JPG|Celui qui voit — Théâtre Garonne|Théâtre Garonne / crédit Pierre Étranger (theatregaronne.com)|Droits réservés — usage éditorial source lieu
E529|||https://laplacedeladanse.com/images/illustrations_fr/illu_page_1364T2.jpg?v=20260720140728|Dans la forêt / À la lisière — La Place de la Danse|La Place de la Danse CDCN (laplacedeladanse.com)|Droits réservés — usage éditorial source lieu
E010|||https://theatrelefilaplomb.fr/wp-content/uploads/2026/07/presentation-saison-26-27.png|Présentation de saison 2026-2027 — Théâtre le Fil à Plomb|Théâtre Le Fil à plomb (theatrelefilaplomb.fr)|Droits réservés — usage éditorial source lieu
E542|||https://metropole.toulouse.fr/sites/toulouse-fr/files/2022-08/centre_culturel_bellegarde.jpg|Prenez Garde — Centre culturel Bellegarde|Toulouse Métropole / Centre culturel Bellegarde (metropole.toulouse.fr)|Droits réservés — usage éditorial source lieu
E623|||https://metropole.toulouse.fr/sites/toulouse-fr/files/2022-08/maison_citoyennete_reynerie.jpg|Les ailes du lac — Centre culturel Reynerie|Toulouse Métropole / Centre culturel Reynerie (metropole.toulouse.fr)|Droits réservés — usage éditorial source lieu
E483|||https://www.greniertheatre.org/wp-content/uploads/2026/04/Header-Huis-Clos-e1777549146201.jpg|Huis Clos — Le Grenier Théâtre|Le Grenier Théâtre (greniertheatre.org)|Droits réservés — usage éditorial source lieu
E301|||https://cdn.openagenda.com/main/122275e848ba481381adcf407526e8ce.full.image.jpg|Conférence Rusalka — Jules Bigey — Théâtre du Capitole|Théâtre du Capitole / OpenAgenda (opera.toulouse.fr)|Droits réservés — usage éditorial source lieu
E321|||https://www.theatre-sorano.fr/wp-content/uploads/2026/05/1300x780-3P0A6467.jpg|Tu viens voir mon patrimoine ? — Théâtre Sorano|Théâtre Sorano (theatre-sorano.fr)|Droits réservés — usage éditorial source lieu
